order,original_index,x,y,dx,dy,slope,angle_deg,radius
61,61,9752.0,2602.3,2052.877013,-3449.395955,-1.680274041,300.758612,4014.054868
62,62,9761.6,2604.9,2062.477013,-3446.795955,-1.671192422,300.895253,4016.741687
63,63,9771.3,2607.5,2072.177013,-3444.195955,-1.662114739,301.032932,4019.502873
64,64,9781.0,2610.1,2081.877013,-3441.595955,-1.653121646,301.170422,4022.287237
65,65,9790.6,2612.7,2091.477013,-3438.995955,-1.644290582,301.306504,4025.042767
66,66,9800.3,2615.3,2101.177013,-3436.395955,-1.635462378,301.443612,4027.873136
67,67,9809.9,2617.9,2110.777013,-3433.795955,-1.626792377,301.579317,4030.674169
68,68,9819.6,2620.5,2120.477013,-3431.195955,-1.61812457,301.71604,4033.550352
69,69,9829.2,2623.1,2130.077013,-3428.595955,-1.609611264,301.851362,4036.396698
70,70,9838.9,2625.7,2139.777013,-3425.995955,-1.601099523,301.987696,4039.3185
71,71,9848.6,2628.3,2149.477013,-3423.395955,-1.592664603,302.123832,4042.26314
72,72,9858.2,2630.9,2159.077013,-3420.795955,-1.58437885,302.258571,4045.177192
73,73,9867.9,2633.5,2168.777013,-3418.195955,-1.576093777,302.39431,4048.167155
74,74,9877.5,2636.1,2178.377013,-3415.595955,-1.567954461,302.528656,4051.126033
75,75,9887.2,2638.6,2188.077013,-3413.095955,-1.55986098,302.663233,4054.245307
76,76,9896.8,2641.2,2197.677013,-3410.495955,-1.551864052,302.797179,4057.248687
77,77,9906.5,2643.8,2207.377013,-3407.895955,-1.543866741,302.932111,4060.328572
78,78,9916.2,2646.2,2217.077013,-3405.495955,-1.536029617,303.065299,4063.59855
79,79,9925.9,2648.7,2226.777013,-3402.995955,-1.528215863,303.199043,4066.806774
80,80,9935.6,2651.0,2236.477013,-3400.695955,-1.520559315,303.331029,4070.204222
81,81,9945.4,2653.3,2246.277013,-3398.395955,-1.512901541,303.463968,4073.678373
82,82,9955.0,2655.8,2255.877013,-3395.895955,-1.505355095,303.595893,4076.897158
83,83,9964.6,2658.8,2265.477013,-3392.895955,-1.497651901,303.731508,4079.721689
84,84,9974.0,2662.3,2274.877013,-3389.395955,-1.489924921,303.868515,4082.042425
85,85,9983.1,2666.4,2283.977013,-3385.295955,-1.482193531,304.006584,4083.721305
86,86,9991.9,2671.1,2292.777013,-3380.595955,-1.474454749,304.14578,4084.758921
87,87,10000.6,2675.9,2301.477013,-3375.795955,-1.466795425,304.284536,4085.681677
88,88,10009.4,2680.8,2310.277013,-3370.895955,-1.459087346,304.425177,4086.602429
89,89,10018.2,2685.5,2319.077013,-3366.195955,-1.451524005,304.564164,4087.71249
90,90,10027.0,2690.3,2327.877013,-3361.395955,-1.44397489,304.703872,4088.76438
91,91,10035.8,2695.0,2336.677013,-3356.695955,-1.436525431,304.842707,4089.922639
92,92,10044.6,2699.7,2345.477013,-3351.995955,-1.429131872,304.981463,4091.1049
93,93,10053.5,2704.4,2354.377013,-3347.295955,-1.421733196,305.121283,4092.36867
94,94,10062.3,2709.1,2363.177013,-3342.595955,-1.414450097,305.259873,4093.599066
95,95,10071.1,2713.8,2371.977013,-3337.895955,-1.407221038,305.398378,4094.853399
96,96,10079.9,2718.5,2380.777013,-3333.195955,-1.400045421,305.536799,4096.131646
97,97,10088.7,2723.2,2389.577013,-3328.495955,-1.392922654,305.675132,4097.433785
98,98,10097.6,2728.0,2398.477013,-3323.695955,-1.385752682,305.815327,4098.737218
99,99,10106.4,2732.7,2407.277013,-3318.995955,-1.378734535,305.953482,4100.087409
100,100,10115.2,2737.4,2416.077013,-3314.295955,-1.371767513,306.091544,4101.461424
101,101,10124.0,2742.1,2424.877013,-3309.595955,-1.364851057,306.229513,4102.859236
102,102,10132.9,2746.8,2433.777013,-3304.895955,-1.357928823,306.368511,4104.34012
103,103,10141.7,2751.5,2442.577013,-3300.195955,-1.351112344,306.506287,4105.78565
104,104,10150.5,2756.2,2451.377013,-3295.495955,-1.344344806,306.643965,4107.254904
105,105,10159.3,2760.9,2460.177013,-3290.795955,-1.337625682,306.781544,4108.747857
106,106,10168.1,2765.6,2468.977013,-3286.095955,-1.330954455,306.919022,4110.264482
107,107,10177.0,2770.3,2477.877013,-3281.395955,-1.324277168,307.057509,4111.865015
108,108,10185.8,2775.0,2486.677013,-3276.695955,-1.317700665,307.194779,4113.429098
109,109,10194.6,2779.7,2495.477013,-3271.995955,-1.311170545,307.331943,4115.016774
110,110,10203.4,2784.5,2504.277013,-3267.195955,-1.304646386,307.469848,4116.548647
111,111,10212.3,2789.2,2513.177013,-3262.495955,-1.298156054,307.607902,4118.244596
112,112,10221.1,2793.9,2521.977013,-3257.795955,-1.291762747,307.744742,4119.903219
113,113,10229.9,2798.6,2530.777013,-3253.095955,-1.285413902,307.881472,4121.585324
114,114,10238.7,2803.3,2539.577013,-3248.395955,-1.279109055,308.018089,4123.29088
115,115,10247.5,2808.0,2548.377013,-3243.695955,-1.272847753,308.154592,4125.01986
116,116,10256.4,2812.7,2557.277013,-3238.995955,-1.266580014,308.29207,4126.8342
117,117,10265.2,2817.4,2566.077013,-3234.295955,-1.260404866,308.428339,4128.610124
118,118,10274.0,2822.1,2574.877013,-3229.595955,-1.254271928,308.56449,4130.409382
119,119,10282.8,2826.8,2583.677013,-3224.895955,-1.248180766,308.700521,4132.231943
120,120,10291.7,2831.5,2592.577013,-3220.195955,-1.242083046,308.837512,4134.140486
121,121,10300.5,2836.3,2601.377013,-3215.395955,-1.236036122,308.974169,4135.932
122,122,10309.2,2841.2,2610.077013,-3210.495955,-1.230038784,309.110507,4137.606348
123,123,10317.7,2846.4,2618.577013,-3205.295955,-1.22406022,309.247217,4138.945244
124,124,10326.1,2851.8,2626.977013,-3199.895955,-1.21809058,309.384524,4140.089655
125,125,10334.3,2857.5,2635.177013,-3194.195955,-1.21213715,309.522261,4140.89914
126,126,10342.3,2863.5,2643.177013,-3188.195955,-1.206198427,309.660463,4141.373947
127,127,10350.1,2869.8,2650.977013,-3181.895955,-1.200272933,309.799163,4141.514335
128,128,10357.6,2876.4,2658.477013,-3175.295955,-1.194404141,309.937335,4141.256383
129,129,10364.9,2883.3,2665.777013,-3168.395955,-1.188545005,310.076078,4140.664199
130,130,10371.9,2890.4,2672.777013,-3161.295955,-1.182775794,310.213476,4139.749881
131,131,10378.6,2897.8,2679.477013,-3153.895955,-1.177056545,310.350459,4138.436511
132,132,10385.3,2905.3,2686.177013,-3146.395955,-1.171328598,310.488426,4137.070757
133,133,10391.9,2912.7,2692.777013,-3138.995955,-1.165709578,310.624531,4135.739794
134,134,10398.6,2920.1,2699.477013,-3131.595955,-1.160075059,310.761772,4134.497475
135,135,10405.3,2927.6,2706.177013,-3124.095955,-1.154431487,310.900002,4133.203305
136,136,10412.0,2935.0,2712.877013,-3116.695955,-1.148852653,311.037408,4132.008635
137,137,10418.7,2942.4,2719.577013,-3109.295955,-1.143301307,311.174892,4130.837744
138,138,10425.4,2949.9,2726.277013,-3101.795955,-1.137740567,311.31337,4129.615539
139,139,10432.1,2957.3,2732.977013,-3094.395955,-1.132243681,311.45101,4128.492422
140,140,10438.7,2964.8,2739.577013,-3086.895955,-1.126778309,311.588607,4127.251973
141,141,10445.4,2972.2,2746.277013,-3079.495955,-1.121334789,311.726398,4126.176531
142,142,10452.1,2979.6,2752.977013,-3072.095955,-1.115917765,311.864261,4125.124967
