order,original_index,x,y,dx,dy,slope,angle_deg,radius
61,61,9752.0,2602.3,1995.462427,-3556.265641,-1.782176198,299.297295,4077.854289
62,62,9761.6,2604.9,2005.062427,-3553.665641,-1.772346633,299.432722,4080.295923
63,63,9771.3,2607.5,2014.762427,-3551.065641,-1.76252326,299.569207,4082.809673
64,64,9781.0,2610.1,2024.462427,-3548.465641,-1.752794023,299.705523,4085.346561
65,65,9790.6,2612.7,2034.062427,-3545.865641,-1.743243272,299.840453,4087.856786
66,66,9800.3,2615.3,2043.762427,-3543.265641,-1.733697417,299.976431,4090.439617
67,67,9809.9,2617.9,2053.362427,-3540.665641,-1.724325718,300.111025,4092.995289
68,68,9819.6,2620.5,2063.062427,-3538.065641,-1.71495811,300.246659,4095.623891
69,69,9829.2,2623.1,2072.662427,-3535.465641,-1.705760473,300.380912,4098.224839
70,70,9838.9,2625.7,2082.362427,-3532.865641,-1.696566167,300.516198,4100.899037
71,71,9848.6,2628.3,2092.062427,-3530.265641,-1.687457121,300.651306,4103.596068
72,72,9858.2,2630.9,2101.662427,-3527.665641,-1.678512018,300.785038,4106.264705
73,73,9867.9,2633.5,2111.362427,-3525.065641,-1.669569182,300.919792,4109.007066
74,74,9877.5,2636.1,2120.962427,-3522.465641,-1.660786441,301.053171,4111.720541
75,75,9887.2,2638.6,2130.662427,-3519.965641,-1.652052243,301.186844,4114.5936
76,76,9896.8,2641.2,2140.262427,-3517.365641,-1.643427272,301.319864,4117.351613
77,77,9906.5,2643.8,2149.962427,-3514.765641,-1.634803286,301.453892,4120.18397
78,78,9916.2,2646.2,2159.662427,-3512.365641,-1.626349376,301.586279,4123.20921
79,79,9925.9,2648.7,2169.362427,-3509.865641,-1.617924971,301.719201,4126.171368
80,80,9935.6,2651.0,2179.062427,-3507.565641,-1.609667349,301.850467,4129.325585
81,81,9945.4,2653.3,2188.862427,-3505.265641,-1.601409754,301.982709,4132.554408
82,82,9955.0,2655.8,2198.462427,-3502.765641,-1.593279739,302.113869,4135.529492
83,83,9964.6,2658.8,2208.062427,-3499.765641,-1.584993974,302.248533,4138.103336
84,84,9974.0,2662.3,2217.462427,-3496.265641,-1.576696677,302.384398,4140.170654
85,85,9983.1,2666.4,2226.562427,-3492.165641,-1.568411287,302.52109,4141.594029
86,86,9991.9,2671.1,2235.362427,-3487.465641,-1.56013432,302.658671,4142.37393
87,87,10000.6,2675.9,2244.062427,-3482.665641,-1.551946862,302.795787,4143.039481
88,88,10009.4,2680.8,2252.862427,-3477.765641,-1.543709726,302.93477,4143.699189
89,89,10018.2,2685.5,2261.662427,-3473.065641,-1.535625122,303.072199,4144.550866
90,90,10027.0,2690.3,2270.462427,-3468.265641,-1.527559144,303.210328,4145.342711
91,91,10035.8,2695.0,2279.262427,-3463.565641,-1.519599323,303.347643,4146.242173
92,92,10044.6,2699.7,2288.062427,-3458.865641,-1.51170073,303.484899,4147.165441
93,93,10053.5,2704.4,2296.962427,-3454.165641,-1.503797189,303.623242,4148.167868
94,94,10062.3,2709.1,2305.762427,-3449.465641,-1.496019538,303.76037,4149.138896
95,95,10071.1,2713.8,2314.562427,-3444.765641,-1.488301029,303.897433,4150.133678
96,96,10079.9,2718.5,2323.362427,-3440.065641,-1.480640989,304.034429,4151.152199
