avg_speed_mps,collision_count,collision_max_impulse,collision_penalty,completed,cte_warning_excess_m,curve_lookahead,curve_max_lat_acc,distance_m,finish_reason,incomplete_penalty,lane_departure_penalty,lane_departure_ticks,lane_intrusion_penalty,lane_intrusion_ticks,max_abs_cte_m,max_speed_mps,mean_abs_cte_m,mission,parking_hold_ticks,rank,rank_key,rank_objective,report,returncode,run,score,sim_time_s,status,steer_speed_gain,stop_violation_penalty,stop_violation_ticks,target_speed_mps,time_limit_excess_s,video_dir,video_dir_deleted
3.804053140226207,0.0,0.0,0.0,True,0.10098858795716859,3.5,0.8,583.2192299221255,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8509885879571686,4.455018136291512,0.2798041073063513,time_trial,0.0,41,False|False|False|False|153.60000228881836|0.10098858795716859|0.2798041073063513,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run011_time_trial_v4p7_acc0p8_look3p5_steer1p6.json,,11,0.10098858795716859,153.60000228881836,ok,1.6,0.0,0.0,4.7,0.0,,True
3.8037861167669806,0.0,0.0,0.0,True,0.09469522054244017,3.5,0.8,583.1799127996541,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8446952205424402,4.442788800873973,0.2809055439699377,time_trial,0.0,40,False|False|False|False|153.60000228881836|0.09469522054244017|0.2809055439699377,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run012_time_trial_v4p7_acc0p8_look3p5_steer1p8.json,,12,0.09469522054244017,153.60000228881836,ok,1.8,0.0,0.0,4.7,0.0,,True
3.812692054626888,0.0,0.0,0.0,True,0.10228376382363702,4.0,0.8,583.211959561993,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.852283763823637,4.454403759523798,0.28110425591350446,time_trial,0.0,35,False|False|False|False|153.25000228360295|0.10228376382363702|0.28110425591350446,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run013_time_trial_v4p7_acc0p8_look4_steer1p4.json,,13,0.10228376382363702,153.25000228360295,ok,1.4,0.0,0.0,4.7,0.0,,True
3.8126093871691946,0.0,0.0,0.0,True,0.10374007565247612,4.0,0.8,583.2014665017763,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8537400756524761,4.451845214551866,0.2812825800030237,time_trial,0.0,36,False|False|False|False|153.25000228360295|0.10374007565247612|0.2812825800030237,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run014_time_trial_v4p7_acc0p8_look4_steer1p6.json,,14,0.10374007565247612,153.25000228360295,ok,1.6,0.0,0.0,4.7,0.0,,True
3.8121513652169807,0.0,0.0,0.0,True,0.09303785442822932,4.0,0.8,583.1311357913177,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8430378544282293,4.45046947509545,0.2811795611910425,time_trial,0.0,34,False|False|False|False|153.25000228360295|0.09303785442822932|0.2811795611910425,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run015_time_trial_v4p7_acc0p8_look4_steer1p8.json,,15,0.09303785442822932,153.25000228360295,ok,1.8,0.0,0.0,4.7,0.0,,True
3.8123791422787954,0.0,0.0,0.0,True,0.1040632895498963,4.5,0.8,583.162876271689,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8540632895498963,4.450521233140357,0.2797034266416999,time_trial,0.0,37,False|False|False|False|153.25000228360295|0.1040632895498963|0.2797034266416999,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run016_time_trial_v4p7_acc0p8_look4p5_steer1p4.json,,16,0.1040632895498963,153.25000228360295,ok,1.4,0.0,0.0,4.7,0.0,,True
3.8134510909006067,0.0,0.0,0.0,True,0.10518847556172817,4.5,0.8,583.1364229762081,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8551884755617282,4.452608005900445,0.2798302301989245,time_trial,0.0,33,False|False|False|False|153.2000022828579|0.10518847556172817|0.2798302301989245,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run017_time_trial_v4p7_acc0p8_look4p5_steer1p6.json,,17,0.10518847556172817,153.2000022828579,ok,1.6,0.0,0.0,4.7,0.0,,True
3.8123714481331943,0.0,0.0,0.0,True,0.10465307458375461,4.5,0.8,583.1620482213484,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8546530745837546,4.452042111678394,0.2797101162798296,time_trial,0.0,38,False|False|False|False|153.25000228360295|0.10465307458375461|0.2797101162798296,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run018_time_trial_v4p7_acc0p8_look4p5_steer1p8.json,,18,0.10465307458375461,153.25000228360295,ok,1.8,0.0,0.0,4.7,0.0,,True
3.86232889772581,0.0,0.0,0.0,True,0.08403894217116403,3.5,0.85,583.0885129180349,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.834038942171164,4.450206150257757,0.27943426298368623,time_trial,0.0,22,False|False|False|False|151.25000225380063|0.08403894217116403|0.27943426298368623,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run019_time_trial_v4p7_acc0p85_look3p5_steer1p4.json,,19,0.08403894217116403,151.25000225380063,ok,1.4,0.0,0.0,4.7,0.0,,True
3.8622994929810854,0.0,0.0,0.0,True,0.08383613305300663,3.5,0.85,583.0864313227742,time_trial_complete,0.0,0.0,0.0,0.0,0.0,0.8338361330530066,4.446137982154515,0.2796164880133986,time_trial,0.0,21,False|False|False|False|151.25000225380063|0.08383613305300663|0.2796164880133986,time,carla_autodrive/reports/phase6_time_trial_best_video_sweep/run020_time_trial_v4p7_acc0p85_look3p5_steer1p6.json,,20,0.08383613305300663,151.25000225380063,ok,1.6,0.0,0.0,4.7,0.0,,True
